Predicted_Draft_Order,Tier,nameascii,draft_prob,rank_raw,pred_bonus,pred_slot,class_ord,total_college_seasons,eligibility_basis
36,Early,Mason Morris,99.6,78.03613,551655.0,730672.0,3.0,3,seasons
37,Early,Marcus Phillips,99.6,79.3696,706061.0,882282.0,3.0,2,class
38,Early,Mason White,99.9,81.155075,725793.0,1133262.0,3.0,3,seasons
39,Early,Hunter Elliott,99.9,82.16298,730423.0,704979.0,3.0,3,seasons
40,Early,Easton Carmichael,99.9,84.68351,680092.0,1113112.0,3.0,3,seasons
41,Early,Robbie Burnett,95.9,87.42239,258040.0,565892.0,4.0,4,seasons
42,Early,Daniel Dickinson,99.4,88.06996,607491.0,583942.0,3.0,3,seasons
43,Early,Griffin Hugus,99.8,88.55546,496897.0,721369.0,3.0,3,seasons
44,Early,Brendan Summerhill,98.9,89.32892,848576.0,1206763.0,3.0,3,seasons
45,Early,Isaiah Jackson,95.9,89.54462,318239.0,495946.0,3.0,3,seasons
46,Early,Malachi Witherspoon,99.7,89.868164,484871.0,636717.0,3.0,2,class
47,Early,Bryce Fowler,96.3,90.00972,560369.0,833571.0,3.0,2,class
48,Early,Luke Hill,99.3,91.586685,809242.0,904696.0,3.0,3,seasons
49,Early,Damian Ruiz,99.8,92.67773,675303.0,1087172.0,2.0,3,seasons
50,Early,Slate Alford,97.8,92.87669,193428.0,676097.0,4.0,4,seasons
51,Middle,Blake Gillespie,100.0,94.84249,649177.0,1267001.0,3.0,3,seasons
52,Middle,Noah Sullivan,98.1,95.293335,1150756.0,1071483.0,3.0,4,seasons
53,Middle,Harrison Bodendorf,100.0,95.386345,418180.0,732261.0,3.0,3,seasons
54,Middle,Brian Curley,99.8,95.79457,484956.0,610482.0,3.0,3,seasons
55,Middle,Nick Monistere,99.1,96.690605,643710.0,828064.0,3.0,3,seasons
56,Middle,Trevor Cohen,99.8,97.327805,539845.0,864126.0,3.0,3,seasons
57,Middle,Matthew Miura,98.4,98.51921,826337.0,824814.0,3.0,3,seasons
58,Middle,Kaeden Kent,99.5,100.288994,494247.0,708143.0,3.0,3,seasons
59,Middle,Myles Patton,99.8,100.98141,320170.0,580396.0,3.0,3,seasons
60,Middle,Luke Harrison,98.7,102.0384,475186.0,648248.0,3.0,3,seasons
61,Middle,Kyle Walker,98.0,103.9946,376522.0,686494.0,3.0,3,seasons
62,Middle,Riley Quick,96.1,104.499275,564599.0,482826.0,2.0,3,seasons
63,Middle,Evan Siary,99.7,105.67436,316762.0,427474.0,3.0,3,seasons
64,Middle,Ryan Daniels,99.7,105.84613,1078915.0,896528.0,3.0,3,seasons
65,Middle,Landon Beidelschies,99.6,105.85323,432921.0,578437.0,3.0,3,seasons
66,Middle,Joseph Dzierwa,99.8,105.951935,541625.0,544491.0,3.0,3,seasons
67,Middle,Tyler Albright,98.0,106.244255,329497.0,420074.0,3.0,3,seasons
68,Middle,Wallace Clark,99.6,106.960045,121646.0,434495.0,4.0,4,seasons
69,Middle,Jack Winnay,99.0,107.13371,483532.0,848181.0,3.0,3,seasons
70,Middle,Jacob Morrison,98.9,107.53391,407743.0,596005.0,3.0,2,class
71,Middle,Matthew Russo,96.6,108.083534,404001.0,586414.0,3.0,3,seasons
72,Middle,Logan Sauve,98.1,108.2531,390473.0,505125.0,3.0,3,seasons
73,Middle,Logan Lunceford,99.8,110.17427,395532.0,659668.0,3.0,3,seasons
74,Middle,Nolan Schubart,98.9,110.21585,469952.0,652683.0,3.0,3,seasons
75,Middle,AJ Nessler,95.3,110.70853,215772.0,347248.0,3.0,3,seasons
76,Middle,Leighton Finley,99.8,111.1423,395963.0,650458.0,3.0,3,seasons
77,Middle,Jared Spencer,98.1,111.408356,163313.0,430428.0,4.0,4,seasons
78,Middle,Grayson Grinsell,99.3,111.578415,373080.0,657781.0,3.0,3,seasons
79,Middle,Jake Duer,98.7,111.9277,802199.0,921716.0,3.0,3,seasons
80,Middle,Rylan Galvan,98.4,112.9381,493158.0,503062.0,3.0,3,seasons
81,Middle,Kyle Lodise,99.9,113.51311,331383.0,516316.0,3.0,1,class
